,left_id,right_id,score
184,40572,41057,1.0
185,77607,72196,1.0
186,40840,68052,1.0
187,42111,36094,1.0
188,40840,68053,1.0
189,77448,63084,1.0
190,77454,80965,1.0
191,41021,60289,1.0
192,41019,55960,1.0
193,41019,53438,1.0
194,41015,79620,1.0
195,41003,60220,1.0
196,40985,12804,1.0
197,40967,91111,1.0
198,40959,1358,1.0
199,77492,88721,1.0
200,40907,80031,1.0
201,40905,44816,1.0
202,40888,41985,1.0
203,40886,1225,1.0
204,40883,28208,1.0
205,40883,28207,1.0
206,77796,32612,1.0
207,77799,89651,1.0
208,40562,57275,1.0
209,77801,82314,1.0
210,40263,20730,1.0
211,40263,17215,1.0
212,77823,62425,1.0
213,77823,63192,1.0
214,40212,58064,1.0
215,40210,26603,1.0
216,40203,52581,1.0
217,40166,66943,1.0
218,40164,68487,1.0
219,40151,49101,1.0
220,40118,42232,1.0
221,77858,20301,1.0
222,40108,62157,1.0
223,40108,62156,1.0
224,40088,28338,1.0
225,40084,49781,1.0
226,40078,70061,1.0
227,40280,10461,1.0
228,40280,10462,1.0
229,40297,64834,1.0
230,40366,22599,1.0
231,40493,86631,1.0
232,40492,78864,1.0
233,40464,82534,1.0
234,40464,82533,1.0
235,40413,16535,1.0
236,40400,81010,1.0
237,40398,19005,1.0
238,40366,22598,1.0
239,40297,64835,1.0
240,40355,18214,1.0
241,40352,7611,1.0
242,40340,28572,1.0
243,40340,28522,1.0
244,40326,54791,1.0
245,40326,53265,1.0
246,77801,82632,1.0
247,41080,52396,1.0
248,41092,63287,1.0
249,41092,70106,1.0
250,41623,79772,1.0
251,41836,73255,1.0
252,41818,61029,1.0
253,41818,61028,1.0
254,77293,84213,1.0
255,77311,73889,1.0
256,41802,32881,1.0
257,41802,32880,1.0
258,41752,39300,1.0
259,41752,38526,1.0
260,41738,40255,1.0
261,41732,59355,1.0
262,41732,59354,1.0
263,41726,78424,1.0
264,41718,66594,1.0
265,41718,66593,1.0
266,41700,91575,1.0
267,41674,7825,1.0
268,41836,73256,1.0
269,41841,61215,1.0
270,41862,86954,1.0
271,77202,85272,1.0
272,77112,50120,1.0
273,42090,77018,1.0
274,42075,24253,1.0
275,42072,11776,1.0
276,42001,88136,1.0
277,42001,88133,1.0
278,41978,60406,1.0
279,41971,87434,1.0
280,41891,34090,1.0
281,77202,85273,1.0
282,77238,62461,1.0
283,77266,5412,1.0
284,77284,19007,1.0
285,77293,84212,1.0
286,41909,33377,1.0
287,41891,34091,1.0
288,41655,5839,1.0
289,41593,57763,1.0
290,77434,67158,1.0
291,41578,56422,1.0
292,41281,67347,1.0
293,41278,81745,1.0
294,77423,52313,1.0
295,77428,71892,1.0
296,41238,50740,1.0
297,41238,50739,1.0
298,77428,71893,1.0
299,41233,85846,1.0
300,41221,3308,1.0
301,41221,3307,1.0
302,41207,6810,1.0
303,41207,6809,1.0
304,77433,56453,1.0
305,41183,5904,1.0
306,41175,64268,1.0
307,41175,64267,1.0
308,41165,80427,1.0
309,41303,71605,1.0
310,77385,22348,1.0
311,41392,2335,1.0
312,41509,77769,1.0
313,41564,16628,1.0
314,41559,61675,1.0
315,41551,60721,1.0
316,41551,60720,1.0
317,77321,30446,1.0
318,41544,64563,1.0
319,41544,57364,1.0
320,41498,33261,1.0
321,77330,55955,1.0
322,41491,4005,1.0
323,41491,4004,1.0
324,41428,19321,1.0
325,41423,77172,1.0
326,41413,55027,1.0
327,41413,55026,1.0
328,41399,43434,1.0
329,44444,46275,1.0
330,44494,73871,1.0
331,44494,74188,1.0
332,47282,77802,1.0
333,74849,19349,1.0
334,47221,18064,1.0
335,47217,39679,1.0
336,47208,82401,1.0
337,47208,82322,1.0
338,47204,84284,1.0
339,47204,84282,1.0
